,mpg,cyl,displ,hp,weight,accel,yr,origin,name
197,20.0,6,225.0,100,3651,17.7,1976-01-01,US,dodge aspen se
198,18.0,6,250.0,78,3574,21.0,1976-01-01,US,ford granada ghia
199,18.5,6,250.0,110,3645,16.2,1976-01-01,US,pontiac ventura sj
200,17.5,6,258.0,95,3193,17.8,1976-01-01,US,amc pacer d/l
201,29.5,4,97.0,71,1825,12.2,1976-01-01,Europe,volkswagen rabbit
202,32.0,4,85.0,70,1990,17.0,1976-01-01,Asia,datsun b-210
203,28.0,4,97.0,75,2155,16.4,1976-01-01,Asia,toyota corolla
204,26.5,4,140.0,72,2565,13.6,1976-01-01,US,ford pinto
205,20.0,4,130.0,102,3150,15.7,1976-01-01,Europe,volvo 245
206,13.0,8,318.0,150,3940,13.2,1976-01-01,US,plymouth volare premier v8
207,19.0,4,120.0,88,3270,21.9,1976-01-01,Europe,peugeot 504
208,19.0,6,156.0,108,2930,15.5,1976-01-01,Asia,toyota mark ii
209,16.5,6,168.0,120,3820,16.7,1976-01-01,Europe,mercedes-benz 280s
210,16.5,8,350.0,180,4380,12.1,1976-01-01,US,cadillac seville
211,13.0,8,350.0,145,4055,12.0,1976-01-01,US,chevy c10
212,13.0,8,302.0,130,3870,15.0,1976-01-01,US,ford f108
213,13.0,8,318.0,150,3755,14.0,1976-01-01,US,dodge d100
214,31.5,4,98.0,68,2045,18.5,1977-01-01,Asia,honda accord cvcc
215,30.0,4,111.0,80,2155,14.8,1977-01-01,US,buick opel isuzu deluxe
216,36.0,4,79.0,58,1825,18.6,1977-01-01,Europe,renault 5 gtl
217,25.5,4,122.0,96,2300,15.5,1977-01-01,US,plymouth arrow gs
218,33.5,4,85.0,70,1945,16.8,1977-01-01,Asia,datsun f-10 hatchback
219,17.5,8,305.0,145,3880,12.5,1977-01-01,US,chevrolet caprice classic
220,17.0,8,260.0,110,4060,19.0,1977-01-01,US,oldsmobile cutlass supreme
221,15.5,8,318.0,145,4140,13.7,1977-01-01,US,dodge monaco brougham
222,15.0,8,302.0,130,4295,14.9,1977-01-01,US,mercury cougar brougham
223,17.5,6,250.0,110,3520,16.4,1977-01-01,US,chevrolet concours
224,20.5,6,231.0,105,3425,16.9,1977-01-01,US,buick skylark
225,19.0,6,225.0,100,3630,17.7,1977-01-01,US,plymouth volare custom
226,18.5,6,250.0,98,3525,19.0,1977-01-01,US,ford granada
227,16.0,8,400.0,180,4220,11.1,1977-01-01,US,pontiac grand prix lj
228,15.5,8,350.0,170,4165,11.4,1977-01-01,US,chevrolet monte carlo landau
229,15.5,8,400.0,190,4325,12.2,1977-01-01,US,chrysler cordoba
230,16.0,8,351.0,149,4335,14.5,1977-01-01,US,ford thunderbird
231,29.0,4,97.0,78,1940,14.5,1977-01-01,Europe,volkswagen rabbit custom
232,24.5,4,151.0,88,2740,16.0,1977-01-01,US,pontiac sunbird coupe
233,26.0,4,97.0,75,2265,18.2,1977-01-01,Asia,toyota corolla liftback
234,25.5,4,140.0,89,2755,15.8,1977-01-01,US,ford mustang ii 2+2
235,30.5,4,98.0,63,2051,17.0,1977-01-01,US,chevrolet chevette
236,33.5,4,98.0,83,2075,15.9,1977-01-01,US,dodge colt m/m
237,30.0,4,97.0,67,1985,16.4,1977-01-01,Asia,subaru dl
238,30.5,4,97.0,78,2190,14.1,1977-01-01,Europe,volkswagen dasher
239,22.0,6,146.0,97,2815,14.5,1977-01-01,Asia,datsun 810
240,21.5,4,121.0,110,2600,12.8,1977-01-01,Europe,bmw 320i
241,21.5,3,80.0,110,2720,13.5,1977-01-01,Asia,mazda rx-4
242,43.1,4,90.0,48,1985,21.5,1978-01-01,Europe,volkswagen rabbit custom diesel
243,36.1,4,98.0,66,1800,14.4,1978-01-01,US,ford fiesta
244,32.8,4,78.0,52,1985,19.4,1978-01-01,Asia,mazda glc deluxe
245,39.4,4,85.0,70,2070,18.6,1978-01-01,Asia,datsun b210 gx
246,36.1,4,91.0,60,1800,16.4,1978-01-01,Asia,honda civic cvcc
247,19.9,8,260.0,110,3365,15.5,1978-01-01,US,oldsmobile cutlass salon brougham
248,19.4,8,318.0,140,3735,13.2,1978-01-01,US,dodge diplomat
249,20.2,8,302.0,139,3570,12.8,1978-01-01,US,mercury monarch ghia
250,19.2,6,231.0,105,3535,19.2,1978-01-01,US,pontiac phoenix lj
251,20.5,6,200.0,95,3155,18.2,1978-01-01,US,chevrolet malibu
252,20.2,6,200.0,85,2965,15.8,1978-01-01,US,ford fairmont (auto)
253,25.1,4,140.0,88,2720,15.4,1978-01-01,US,ford fairmont (man)
254,20.5,6,225.0,100,3430,17.2,1978-01-01,US,plymouth volare
255,19.4,6,232.0,90,3210,17.2,1978-01-01,US,amc concord
256,20.6,6,231.0,105,3380,15.8,1978-01-01,US,buick century special
257,20.8,6,200.0,85,3070,16.7,1978-01-01,US,mercury zephyr
258,18.6,6,225.0,110,3620,18.7,1978-01-01,US,dodge aspen
259,18.1,6,258.0,120,3410,15.1,1978-01-01,US,amc concord d/l
260,19.2,8,305.0,145,3425,13.2,1978-01-01,US,chevrolet monte carlo landau
261,17.7,6,231.0,165,3445,13.4,1978-01-01,US,buick regal sport coupe (turbo)
262,18.1,8,302.0,139,3205,11.2,1978-01-01,US,ford futura
263,17.5,8,318.0,140,4080,13.7,1978-01-01,US,dodge magnum xe
264,30.0,4,98.0,68,2155,16.5,1978-01-01,US,chevrolet chevette
265,27.5,4,134.0,95,2560,14.2,1978-01-01,Asia,toyota corona
266,27.2,4,119.0,97,2300,14.7,1978-01-01,Asia,datsun 510
267,30.9,4,105.0,75,2230,14.5,1978-01-01,US,dodge omni
268,21.1,4,134.0,95,2515,14.8,1978-01-01,Asia,toyota celica gt liftback
269,23.2,4,156.0,105,2745,16.7,1978-01-01,US,plymouth sapporo
270,23.8,4,151.0,85,2855,17.6,1978-01-01,US,oldsmobile starfire sx
271,23.9,4,119.0,97,2405,14.9,1978-01-01,Asia,datsun 200-sx
272,20.3,5,131.0,103,2830,15.9,1978-01-01,Europe,audi 5000
273,17.0,6,163.0,125,3140,13.6,1978-01-01,Europe,volvo 264gl
274,21.6,4,121.0,115,2795,15.7,1978-01-01,Europe,saab 99gle
275,16.2,6,163.0,133,3410,15.8,1978-01-01,Europe,peugeot 604sl
276,31.5,4,89.0,71,1990,14.9,1978-01-01,Europe,volkswagen scirocco
277,29.5,4,98.0,68,2135,16.6,1978-01-01,Asia,honda accord lx
278,21.5,6,231.0,115,3245,15.4,1979-01-01,US,pontiac lemans v6
279,19.8,6,200.0,85,2990,18.2,1979-01-01,US,mercury zephyr 6
280,22.3,4,140.0,88,2890,17.3,1979-01-01,US,ford fairmont 4
281,20.2,6,232.0,90,3265,18.2,1979-01-01,US,amc concord dl 6
282,20.6,6,225.0,110,3360,16.6,1979-01-01,US,dodge aspen 6
283,17.0,8,305.0,130,3840,15.4,1979-01-01,US,chevrolet caprice classic
284,17.6,8,302.0,129,3725,13.4,1979-01-01,US,ford ltd landau
285,16.5,8,351.0,138,3955,13.2,1979-01-01,US,mercury grand marquis
286,18.2,8,318.0,135,3830,15.2,1979-01-01,US,dodge st. regis
287,16.9,8,350.0,155,4360,14.9,1979-01-01,US,buick estate wagon (sw)
288,15.5,8,351.0,142,4054,14.3,1979-01-01,US,ford country squire (sw)
289,19.2,8,267.0,125,3605,15.0,1979-01-01,US,chevrolet malibu classic (sw)
290,18.5,8,360.0,150,3940,13.0,1979-01-01,US,chrysler lebaron town @ country (sw)
291,31.9,4,89.0,71,1925,14.0,1979-01-01,Europe,vw rabbit custom
292,34.1,4,86.0,65,1975,15.2,1979-01-01,Asia,maxda glc deluxe
293,35.7,4,98.0,80,1915,14.4,1979-01-01,US,dodge colt hatchback custom
294,27.4,4,121.0,80,2670,15.0,1979-01-01,US,amc spirit dl
295,25.4,5,183.0,77,3530,20.1,1979-01-01,Europe,mercedes benz 300d
296,23.0,8,350.0,125,3900,17.4,1979-01-01,US,cadillac eldorado
297,27.2,4,141.0,71,3190,24.8,1979-01-01,Europe,peugeot 504
298,23.9,8,260.0,90,3420,22.2,1979-01-01,US,oldsmobile cutlass salon brougham
299,34.2,4,105.0,70,2200,13.2,1979-01-01,US,plymouth horizon
300,34.5,4,105.0,70,2150,14.9,1979-01-01,US,plymouth horizon tc3
301,31.8,4,85.0,65,2020,19.2,1979-01-01,Asia,datsun 210
302,37.3,4,91.0,69,2130,14.7,1979-01-01,Europe,fiat strada custom
303,28.4,4,151.0,90,2670,16.0,1979-01-01,US,buick skylark limited
304,28.8,6,173.0,115,2595,11.3,1979-01-01,US,chevrolet citation
305,26.8,6,173.0,115,2700,12.9,1979-01-01,US,oldsmobile omega brougham
306,33.5,4,151.0,90,2556,13.2,1979-01-01,US,pontiac phoenix
307,41.5,4,98.0,76,2144,14.7,1980-01-01,Europe,vw rabbit
308,38.1,4,89.0,60,1968,18.8,1980-01-01,Asia,toyota corolla tercel
309,32.1,4,98.0,70,2120,15.5,1980-01-01,US,chevrolet chevette
310,37.2,4,86.0,65,2019,16.4,1980-01-01,Asia,datsun 310
311,28.0,4,151.0,90,2678,16.5,1980-01-01,US,chevrolet citation
312,26.4,4,140.0,88,2870,18.1,1980-01-01,US,ford fairmont
313,24.3,4,151.0,90,3003,20.1,1980-01-01,US,amc concord
314,19.1,6,225.0,90,3381,18.7,1980-01-01,US,dodge aspen
315,34.3,4,97.0,78,2188,15.8,1980-01-01,Europe,audi 4000
316,29.8,4,134.0,90,2711,15.5,1980-01-01,Asia,toyota corona liftback
317,31.3,4,120.0,75,2542,17.5,1980-01-01,Asia,mazda 626
318,37.0,4,119.0,92,2434,15.0,1980-01-01,Asia,datsun 510 hatchback
319,32.2,4,108.0,75,2265,15.2,1980-01-01,Asia,toyota corolla
320,46.6,4,86.0,65,2110,17.9,1980-01-01,Asia,mazda glc
321,27.9,4,156.0,105,2800,14.4,1980-01-01,US,dodge colt
322,40.8,4,85.0,65,2110,19.2,1980-01-01,Asia,datsun 210
323,44.3,4,90.0,48,2085,21.7,1980-01-01,Europe,vw rabbit c (diesel)
324,43.4,4,90.0,48,2335,23.7,1980-01-01,Europe,vw dasher (diesel)
325,36.4,5,121.0,67,2950,19.9,1980-01-01,Europe,audi 5000s (diesel)
326,30.0,4,146.0,67,3250,21.8,1980-01-01,Europe,mercedes-benz 240d
327,44.6,4,91.0,67,1850,13.8,1980-01-01,Asia,honda civic 1500 gl
328,33.8,4,97.0,67,2145,18.0,1980-01-01,Asia,subaru dl
329,29.8,4,89.0,62,1845,15.3,1980-01-01,Europe,vokswagen rabbit
330,32.7,6,168.0,132,2910,11.4,1980-01-01,Asia,datsun 280-zx
331,23.7,3,70.0,100,2420,12.5,1980-01-01,Asia,mazda rx-7 gs
332,35.0,4,122.0,88,2500,15.1,1980-01-01,Europe,triumph tr7 coupe
333,32.4,4,107.0,72,2290,17.0,1980-01-01,Asia,honda accord
334,27.2,4,135.0,84,2490,15.7,1981-01-01,US,plymouth reliant
335,26.6,4,151.0,84,2635,16.4,1981-01-01,US,buick skylark
336,25.8,4,156.0,92,2620,14.4,1981-01-01,US,dodge aries wagon (sw)
337,23.5,6,173.0,110,2725,12.6,1981-01-01,US,chevrolet citation
338,30.0,4,135.0,84,2385,12.9,1981-01-01,US,plymouth reliant
339,39.1,4,79.0,58,1755,16.9,1981-01-01,Asia,toyota starlet
340,39.0,4,86.0,64,1875,16.4,1981-01-01,US,plymouth champ
341,35.1,4,81.0,60,1760,16.1,1981-01-01,Asia,honda civic 1300
342,32.3,4,97.0,67,2065,17.8,1981-01-01,Asia,subaru
343,37.0,4,85.0,65,1975,19.4,1981-01-01,Asia,datsun 210 mpg
344,37.7,4,89.0,62,2050,17.3,1981-01-01,Asia,toyota tercel
345,34.1,4,91.0,68,1985,16.0,1981-01-01,Asia,mazda glc 4
346,34.7,4,105.0,63,2215,14.9,1981-01-01,US,plymouth horizon 4
347,34.4,4,98.0,65,2045,16.2,1981-01-01,US,ford escort 4w
348,29.9,4,98.0,65,2380,20.7,1981-01-01,US,ford escort 2h
349,33.0,4,105.0,74,2190,14.2,1981-01-01,Europe,volkswagen jetta
350,33.7,4,107.0,75,2210,14.4,1981-01-01,Asia,honda prelude
351,32.4,4,108.0,75,2350,16.8,1981-01-01,Asia,toyota corolla
352,32.9,4,119.0,100,2615,14.8,1981-01-01,Asia,datsun 200sx
353,31.6,4,120.0,74,2635,18.3,1981-01-01,Asia,mazda 626
354,28.1,4,141.0,80,3230,20.4,1981-01-01,Europe,peugeot 505s turbo diesel
355,30.7,6,145.0,76,3160,19.6,1981-01-01,Europe,volvo diesel
356,25.4,6,168.0,116,2900,12.6,1981-01-01,Asia,toyota cressida
357,24.2,6,146.0,120,2930,13.8,1981-01-01,Asia,datsun 810 maxima
358,22.4,6,231.0,110,3415,15.8,1981-01-01,US,buick century
359,26.6,8,350.0,105,3725,19.0,1981-01-01,US,oldsmobile cutlass ls
360,20.2,6,200.0,88,3060,17.1,1981-01-01,US,ford granada gl
361,17.6,6,225.0,85,3465,16.6,1981-01-01,US,chrysler lebaron salon
362,28.0,4,112.0,88,2605,19.6,1982-01-01,US,chevrolet cavalier
363,27.0,4,112.0,88,2640,18.6,1982-01-01,US,chevrolet cavalier wagon
364,34.0,4,112.0,88,2395,18.0,1982-01-01,US,chevrolet cavalier 2-door
365,31.0,4,112.0,85,2575,16.2,1982-01-01,US,pontiac j2000 se hatchback
366,29.0,4,135.0,84,2525,16.0,1982-01-01,US,dodge aries se
367,27.0,4,151.0,90,2735,18.0,1982-01-01,US,pontiac phoenix
368,24.0,4,140.0,92,2865,16.4,1982-01-01,US,ford fairmont futura
369,36.0,4,105.0,74,1980,15.3,1982-01-01,Europe,volkswagen rabbit l
370,37.0,4,91.0,68,2025,18.2,1982-01-01,Asia,mazda glc custom l
371,31.0,4,91.0,68,1970,17.6,1982-01-01,Asia,mazda glc custom
372,38.0,4,105.0,63,2125,14.7,1982-01-01,US,plymouth horizon miser
373,36.0,4,98.0,70,2125,17.3,1982-01-01,US,mercury lynx l
374,36.0,4,120.0,88,2160,14.5,1982-01-01,Asia,nissan stanza xe
375,36.0,4,107.0,75,2205,14.5,1982-01-01,Asia,honda accord
376,34.0,4,108.0,70,2245,16.9,1982-01-01,Asia,toyota corolla
377,38.0,4,91.0,67,1965,15.0,1982-01-01,Asia,honda civic
378,32.0,4,91.0,67,1965,15.7,1982-01-01,Asia,honda civic (auto)
379,38.0,4,91.0,67,1995,16.2,1982-01-01,Asia,datsun 310 gx
380,25.0,6,181.0,110,2945,16.4,1982-01-01,US,buick century limited
381,38.0,6,262.0,85,3015,17.0,1982-01-01,US,oldsmobile cutlass ciera (diesel)
382,26.0,4,156.0,92,2585,14.5,1982-01-01,US,chrysler lebaron medallion
383,22.0,6,232.0,112,2835,14.7,1982-01-01,US,ford granada l
384,32.0,4,144.0,96,2665,13.9,1982-01-01,Asia,toyota celica gt
385,36.0,4,135.0,84,2370,13.0,1982-01-01,US,dodge charger 2.2
386,27.0,4,151.0,90,2950,17.3,1982-01-01,US,chevrolet camaro
387,27.0,4,140.0,86,2790,15.6,1982-01-01,US,ford mustang gl
388,44.0,4,97.0,52,2130,24.6,1982-01-01,Europe,vw pickup
389,32.0,4,135.0,84,2295,11.6,1982-01-01,US,dodge rampage
390,28.0,4,120.0,79,2625,18.6,1982-01-01,US,ford ranger
391,31.0,4,119.0,82,2720,19.4,1982-01-01,US,chevy s-10