,Edition,Bronze,Gold,Silver,Grand Total,City,Country
0,1896,40,64,47,151,Athens,Greece
1,1900,142,178,192,512,Paris,France
2,1904,123,188,159,470,St. Louis,United States
3,1908,211,311,282,804,London,United Kingdom
4,1912,284,301,300,885,Stockholm,Sweden
5,1920,355,497,446,1298,Antwerp,Belgium
6,1924,285,301,298,884,Paris,France
7,1928,242,229,239,710,Amsterdam,Netherlands
8,1932,196,213,206,615,Los Angeles,United States
9,1936,282,299,294,875,Berlin,Germany
10,1948,268,276,270,814,London,United Kingdom
11,1952,299,300,290,889,Helsinki,Finland
12,1956,297,298,290,885,Melbourne,Australia
13,1960,301,295,286,882,Rome,Italy
14,1964,343,330,337,1010,Tokyo,Japan
15,1968,351,341,339,1031,Mexico City,Mexico
16,1972,412,387,386,1185,Munich,West Germany (now Germany)
17,1976,447,429,429,1305,Montreal,Canada
18,1980,472,460,455,1387,Moscow,U.S.S.R. (now Russia)
19,1984,500,483,476,1459,Los Angeles,United States
20,1988,535,506,505,1546,Seoul,South Korea
21,1992,596,558,551,1705,Barcelona,Spain
22,1996,634,615,610,1859,Atlanta,United States
23,2000,685,663,667,2015,Sydney,Australia
24,2004,679,659,660,1998,Athens,Greece
25,2008,710,669,663,2042,Beijing,China